ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1+StopWordRemoval+Stemming,32561,SUMMARY.TXT,0.69412,0.18955,0.29778,3

ROUGE-2+StopWordRemoval+Stemming,32561,SUMMARY.TXT,0.30509,0.05816,0.09769,3

ROUGE-SU4+StopWordRemoval+Stemming,32561,SUMMARY.TXT,0.45121,0.07431,0.12760,3

ROUGE-L+StopWordRemoval+Stemming,30947,SUMMARY.TXT,0.52399,0.27072,0.35699,4

ROUGE-1+StopWordRemoval+Stemming,30947,SUMMARY.TXT,0.66266,0.31979,0.43139,4

ROUGE-2+StopWordRemoval+Stemming,30947,SUMMARY.TXT,0.25559,0.09720,0.14084,4

ROUGE-SU4+StopWordRemoval+Stemming,30947,SUMMARY.TXT,0.39730,0.12019,0.18455,4

ROUGE-L+StopWordRemoval+Stemming,31914,SUMMARY.TXT,0.55980,0.18741,0.28081,4

ROUGE-1+StopWordRemoval+Stemming,31914,SUMMARY.TXT,0.69416,0.16168,0.26228,4

ROUGE-2+StopWordRemoval+Stemming,31914,SUMMARY.TXT,0.32043,0.04408,0.07749,4

ROUGE-SU4+StopWordRemoval+Stemming,31914,SUMMARY.TXT,0.42943,0.05999,0.10527,4

ROUGE-L+StopWordRemoval+Stemming,30946,SUMMARY.TXT,0.47616,0.35098,0.40409,3

ROUGE-1+StopWordRemoval+Stemming,30946,SUMMARY.TXT,0.54711,0.33527,0.41576,3

ROUGE-2+StopWordRemoval+Stemming,30946,SUMMARY.TXT,0.20388,0.10525,0.13883,3

ROUGE-SU4+StopWordRemoval+Stemming,30946,SUMMARY.TXT,0.31745,0.13176,0.18622,3

ROUGE-L+StopWordRemoval+Stemming,30820,SUMMARY.TXT,0.40217,0.34669,0.37237,3

ROUGE-1+StopWordRemoval+Stemming,30820,SUMMARY.TXT,0.30148,0.48890,0.37297,3

ROUGE-2+StopWordRemoval+Stemming,30820,SUMMARY.TXT,0.13631,0.15840,0.14653,3

ROUGE-SU4+StopWordRemoval+Stemming,30820,SUMMARY.TXT,0.19705,0.21125,0.20390,3

ROUGE-L+StopWordRemoval+Stemming,30941,SUMMARY.TXT,0.55437,0.34831,0.42782,3

ROUGE-1+StopWordRemoval+Stemming,30941,SUMMARY.TXT,0.64170,0.37886,0.47643,3

ROUGE-2+StopWordRemoval+Stemming,30941,SUMMARY.TXT,0.29678,0.15511,0.20374,3

ROUGE-SU4+StopWordRemoval+Stemming,30941,SUMMARY.TXT,0.41072,0.17556,0.24597,3

ROUGE-L+StopWordRemoval+Stemming,31358,SUMMARY.TXT,0.47188,0.35900,0.40777,4

ROUGE-1+StopWordRemoval+Stemming,31358,SUMMARY.TXT,0.53732,0.40258,0.46029,4

ROUGE-2+StopWordRemoval+Stemming,31358,SUMMARY.TXT,0.21022,0.13992,0.16801,4

ROUGE-SU4+StopWordRemoval+Stemming,31358,SUMMARY.TXT,0.31625,0.17238,0.22313,4

ROUGE-L+StopWordRemoval+Stemming,30940,SUMMARY.TXT,0.50140,0.21686,0.30277,4

ROUGE-1+StopWordRemoval+Stemming,30940,SUMMARY.TXT,0.68987,0.25843,0.37600,4

ROUGE-2+StopWordRemoval+Stemming,30940,SUMMARY.TXT,0.29912,0.08268,0.12955,4

ROUGE-SU4+StopWordRemoval+Stemming,30940,SUMMARY.TXT,0.42830,0.10470,0.16827,4

ROUGE-L+StopWordRemoval+Stemming,30943,SUMMARY.TXT,0.51351,0.24443,0.33121,4

ROUGE-1+StopWordRemoval+Stemming,30943,SUMMARY.TXT,0.64157,0.24536,0.35497,4

ROUGE-2+StopWordRemoval+Stemming,30943,SUMMARY.TXT,0.26253,0.08625,0.12985,4

ROUGE-SU4+StopWordRemoval+Stemming,30943,SUMMARY.TXT,0.38854,0.10619,0.16679,4

ROUGE-L+StopWordRemoval+Stemming,30822,SUMMARY.TXT,0.52529,0.31447,0.39342,3

ROUGE-1+StopWordRemoval+Stemming,30822,SUMMARY.TXT,0.67414,0.34879,0.45973,3

ROUGE-2+StopWordRemoval+Stemming,30822,SUMMARY.TXT,0.23564,0.10530,0.14556,3

ROUGE-SU4+StopWordRemoval+Stemming,30822,SUMMARY.TXT,0.37748,0.13861,0.20277,3

ROUGE-L+StopWordRemoval+Stemming,30821,SUMMARY.TXT,0.53832,0.32281,0.40360,4

ROUGE-1+StopWordRemoval+Stemming,30821,SUMMARY.TXT,0.60295,0.42532,0.49879,4

