ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1+StopWordRemoval+Stemming,32561,SUMMARY.TXT,0.73369,0.15158,0.25125,3

ROUGE-2+StopWordRemoval+Stemming,32561,SUMMARY.TXT,0.33635,0.04863,0.08498,3

ROUGE-SU4+StopWordRemoval+Stemming,32561,SUMMARY.TXT,0.47989,0.06023,0.10703,3

ROUGE-L+StopWordRemoval+Stemming,30947,SUMMARY.TXT,0.55377,0.24699,0.34162,4

ROUGE-1+StopWordRemoval+Stemming,30947,SUMMARY.TXT,0.69556,0.26125,0.37984,4

ROUGE-2+StopWordRemoval+Stemming,30947,SUMMARY.TXT,0.28378,0.08225,0.12753,4

ROUGE-SU4+StopWordRemoval+Stemming,30947,SUMMARY.TXT,0.42571,0.09946,0.16125,4

ROUGE-L+StopWordRemoval+Stemming,30946,SUMMARY.TXT,0.51682,0.31492,0.39137,3

ROUGE-1+StopWordRemoval+Stemming,30946,SUMMARY.TXT,0.63711,0.32522,0.43062,3

ROUGE-2+StopWordRemoval+Stemming,30946,SUMMARY.TXT,0.24753,0.10630,0.14873,3

ROUGE-SU4+StopWordRemoval+Stemming,30946,SUMMARY.TXT,0.38051,0.13135,0.19529,3

ROUGE-L+StopWordRemoval+Stemming,31914,SUMMARY.TXT,0.60481,0.17934,0.27665,4

ROUGE-1+StopWordRemoval+Stemming,31914,SUMMARY.TXT,0.74975,0.13923,0.23485,4

ROUGE-2+StopWordRemoval+Stemming,31914,SUMMARY.TXT,0.36409,0.04259,0.07626,4

ROUGE-SU4+StopWordRemoval+Stemming,31914,SUMMARY.TXT,0.47284,0.05397,0.09688,4

ROUGE-L+StopWordRemoval+Stemming,30941,SUMMARY.TXT,0.69250,0.32391,0.44137,3

ROUGE-1+StopWordRemoval+Stemming,30941,SUMMARY.TXT,0.79632,0.32578,0.46239,3

ROUGE-2+StopWordRemoval+Stemming,30941,SUMMARY.TXT,0.46802,0.14896,0.22599,3

ROUGE-SU4+StopWordRemoval+Stemming,30941,SUMMARY.TXT,0.58843,0.16037,0.25205,3

ROUGE-L+StopWordRemoval+Stemming,30820,SUMMARY.TXT,0.47536,0.31515,0.37902,3

ROUGE-1+StopWordRemoval+Stemming,30820,SUMMARY.TXT,0.59390,0.37264,0.45794,3

ROUGE-2+StopWordRemoval+Stemming,30820,SUMMARY.TXT,0.25527,0.11247,0.15615,3

ROUGE-SU4+StopWordRemoval+Stemming,30820,SUMMARY.TXT,0.35152,0.15452,0.21468,3

ROUGE-L+StopWordRemoval+Stemming,31358,SUMMARY.TXT,0.52765,0.31589,0.39520,4

ROUGE-1+StopWordRemoval+Stemming,31358,SUMMARY.TXT,0.60277,0.34463,0.43853,4

ROUGE-2+StopWordRemoval+Stemming,31358,SUMMARY.TXT,0.24098,0.12270,0.16261,4

ROUGE-SU4+StopWordRemoval+Stemming,31358,SUMMARY.TXT,0.35917,0.15026,0.21188,4

ROUGE-L+StopWordRemoval+Stemming,30940,SUMMARY.TXT,0.56836,0.20365,0.29986,4

